Symbol,Index Membership
GLAXO.NS,"Nifty 500, Nifty Midcap 150, Nifty Midcap150 Quality 50"
GLENMARK.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Healthcare Index, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Pharma, Nifty200 Momentum 30"
GMDCLTD.NS,"Nifty 500, Nifty Smallcap 250"
GMMPFAUDLR.NS,Nifty Microcap 250
GMRAIRPORT.NS,"Nifty 200, Nifty 500, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Transportation & Logistics, Nifty200 Momentum 30"
GMRP&UI.NS,Nifty Microcap 250
GNFC.NS,"Nifty Chemicals, Nifty Microcap 250"
GODFRYPHLP.NS,"Nifty 200, Nifty 500, Nifty Midcap 150, Nifty Midcap150 Quality 50"
GODIGIT.NS,"Nifty 500, Nifty Smallcap 250"
GODREJAGRO.NS,Nifty Microcap 250
GODREJCP.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty Fmcg, Nifty India Consumption, Nifty Low Volatility 50, Nifty Next 50, Nifty Non-Cyclical Consumer"
GODREJIND.NS,"Nifty 500, Nifty Midcap 150"
GODREJPROP.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty Housing, Nifty Midcap 150, Nifty Realty, Nifty Reits & Realty"
GOKEX.NS,Nifty Microcap 250
GOKULAGRO.NS,Nifty Microcap 250
GPIL.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
GPPL.NS,Nifty Microcap 250
GRANULES.NS,"Nifty 500, Nifty Smallcap 250"
GRAPHITE.NS,"Nifty 500, Nifty Smallcap 250"
GRASIM.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Cement, Nifty Commodities, Nifty Housing, Nifty Infrastructure, Nifty Low Volatility 50, Nifty200 Value 30"
GRAVITA.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
GREAVESCOT.NS,Nifty Microcap 250
GROWW.NS,"Nifty 200, Nifty 500, Nifty Capital Markets, Nifty India Internet, Nifty Midcap 150"
GRSE.NS,"Nifty 500, Nifty India Defence, Nifty Smallcap 250"
GRWRHITECH.NS,Nifty Microcap 250
GSFC.NS,Nifty Microcap 250
GUJGASLTD.NS,Nifty Midcap150 Quality 50
GVT&D.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Energy, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
HAL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty India Defence, Nifty India Manufacturing, Nifty Next 50, Nifty Pse, Nifty200 Quality 30"
HAPPSTMNDS.NS,Nifty Microcap 250
HATHWAY.NS,Nifty Media
HAVELLS.NS,"Nifty 200, Nifty 500, Nifty Consumer Durables, Nifty Housing, Nifty India Consumption, Nifty India Manufacturing, Nifty Midcap 150, Nifty Non-Cyclical Consumer, Nifty200 Quality 30"
HBLENGINE.NS,"Nifty 500, Nifty Smallcap 250"
HCC.NS,Nifty Microcap 250
HCG.NS,Nifty Microcap 250
HCLTECH.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty India Digital, Nifty It, Nifty Low Volatility 50, Nifty100 Low Volatility 30, Nifty200 Quality 30"
HDBFS.NS,"Nifty 500, Nifty Midcap 150"
HDFC.NS,Nifty Housing
HDFCAMC.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Alpha Quality Value Low-Volatility 30, Nifty Capital Markets, Nifty Dividend Opportunities 50, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50, Nifty Next 50, Nifty200 Quality 30"
HDFCBANK.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Bank, Nifty Financial Services, Nifty Housing, Nifty Low Volatility 50, Nifty Private Bank, Nifty100 Low Volatility 30"
HDFCLIFE.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Financial Services, Nifty Low Volatility 50"
HEG.NS,"Nifty 500, Nifty Smallcap 250"
HEMIPROP.NS,Nifty Microcap 250
HERITGFOOD.NS,Nifty Microcap 250
HEROMOTOCO.NS,"Nifty 200, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Auto, Nifty Dividend Opportunities 50, Nifty Ev & New Age Automotive, Nifty India Consumption, Nifty Low Volatility 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50, Nifty Transportation & Logistics, Nifty200 Momentum 30, Nifty200 Quality 30"
HEXT.NS,"Nifty 500, Nifty India Digital, Nifty Midcap 150"
HFCL.NS,"Nifty 500, Nifty Smallcap 250"
HGINFRA.NS,Nifty Microcap 250
HINDALCO.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Commodities, Nifty India Manufacturing, Nifty Metal, Nifty200 Momentum 30, Nifty200 Value 30"
HINDCOPPER.NS,"Nifty 500, Nifty Alpha 50, Nifty High Beta 50, Nifty India Manufacturing, Nifty Metal, Nifty Smallcap 250"
HINDPETRO.NS,"Nifty 200, Nifty 500, Nifty Commodities, Nifty Dividend Opportunities 50, Nifty Energy, Nifty India Railways Psu, Nifty Infrastructure, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Oil & Gas, Nifty Pse, Nifty200 Value 30"
HINDUNILVR.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty Fmcg, Nifty India Consumption, Nifty Low Volatility 50, Nifty Non-Cyclical Consumer, Nifty100 Low Volatility 30, Nifty200 Quality 30"
HINDZINC.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty India Manufacturing, Nifty Metal, Nifty Next 50, Nifty200 Quality 30"
HOMEFIRST.NS,"Nifty 500, Nifty Smallcap 250"
HONASA.NS,"Nifty 500, Nifty Smallcap 250"
HONAUT.NS,"Nifty 500, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50"
HSCL.NS,"Nifty 500, Nifty Chemicals, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Smallcap 250"
HUDCO.NS,"Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty Midcap 150"
HYUNDAI.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Next 50, Nifty Transportation & Logistics"
IBULHSGFIN.NS,Nifty Housing
ICICIAMC.NS,"Nifty 200, Nifty 500, Nifty Capital Markets, Nifty Midcap 150"
ICICIBANK.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Bank, Nifty Financial Services, Nifty Housing, Nifty Low Volatility 50, Nifty Private Bank, Nifty100 Low Volatility 30"
ICICIGI.NS,"Nifty 200, Nifty 500, Nifty Financial Services, Nifty Low Volatility 50, Nifty Midcap 150"
ICICIPRULI.NS,"Nifty 500, Nifty Midcap 150"
ICIL.NS,Nifty Microcap 250
IDBI.NS,"Nifty 500, Nifty Smallcap 250"
IDEA.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty India Digital, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
IDFCFIRSTB.NS,"Nifty 200, Nifty 500, Nifty Bank, Nifty Housing, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Private Bank"
IEX.NS,"Nifty 500, Nifty Capital Markets, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
IFBIND.NS,Nifty Microcap 250
IFCI.NS,"Nifty 500, Nifty Smallcap 250"
IGIL.NS,"Nifty 500, Nifty Smallcap 250"
IGL.NS,"Nifty 500, Nifty Energy, Nifty Housing, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50, Nifty Oil & Gas, Nifty Smallcap 250"
IIFL.NS,"Nifty 500, Nifty Alpha 50, Nifty High Beta 50, Nifty Smallcap 250"
IIFLCAPS.NS,"Nifty India Internet, Nifty Microcap 250"
IKS.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250"
IMFA.NS,Nifty Microcap 250
INDGN.NS,"Nifty 500, Nifty Smallcap 250"
INDHOTEL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty India Consumption, Nifty Infrastructure, Nifty Next 50, Nifty Non-Cyclical Consumer"
INDIACEM.NS,"Nifty 500, Nifty Cement, Nifty Smallcap 250"
INDIAGLYCO.NS,Nifty Microcap 250
INDIAMART.NS,"Nifty 500, Nifty India Digital, Nifty India Internet, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
INDIANB.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Dividend Opportunities 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Psu Bank, Nifty200 Momentum 30, Nifty200 Value 30"
INDIASHLTR.NS,Nifty Microcap 250
INDIGO.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty India Consumption, Nifty Infrastructure, Nifty Non-Cyclical Consumer, Nifty Transportation & Logistics, Nifty200 Momentum 30"
INDIGOPNTS.NS,Nifty Microcap 250
INDUSINDBK.NS,"Nifty 200, Nifty 500, Nifty Bank, Nifty Housing, Nifty Midcap 150, Nifty Private Bank, Nifty200 Value 30"
INDUSTOWER.NS,"Nifty 200, Nifty 500, Nifty Infrastructure, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
INFY.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty India Digital, Nifty It, Nifty Low Volatility 50, Nifty100 Low Volatility 30, Nifty200 Quality 30"
INOXGREEN.NS,Nifty Microcap 250
INOXINDIA.NS,Nifty Microcap 250
INOXWIND.NS,"Nifty 500, Nifty Energy, Nifty High Beta 50, Nifty Smallcap 250"
INTELLECT.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250"
IOB.NS,"Nifty 500, Nifty Psu Bank, Nifty Smallcap 250"
IOC.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Commodities, Nifty Dividend Opportunities 50, Nifty Energy, Nifty India Manufacturing, Nifty Infrastructure, Nifty Next 50, Nifty Oil & Gas, Nifty Pse, Nifty200 Value 30"
IONEXCHANG.NS,Nifty Microcap 250
IPCALAB.NS,"Nifty 500, Nifty Healthcare Index, Nifty Midcap 150, Nifty Pharma"
IRB.NS,"Nifty 500, Nifty Smallcap 250"
IRCON.NS,"Nifty 500, Nifty India Railways Psu, Nifty Smallcap 250"
IRCTC.NS,"Nifty 200, Nifty 500, Nifty India Digital, Nifty India Internet, Nifty India Railways Psu, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Non-Cyclical Consumer, Nifty Pse, Nifty Transportation & Logistics, Nifty200 Quality 30"
IREDA.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty Midcap 150"
IRFC.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty India Railways Psu, Nifty Next 50, Nifty Pse"
ITC.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Dividend Opportunities 50, Nifty Fmcg, Nifty India Consumption, Nifty Low Volatility 50, Nifty Non-Cyclical Consumer, Nifty100 Low Volatility 30, Nifty200 Quality 30"
ITCHOTELS.NS,"Nifty 500, Nifty Midcap 150"
ITI.NS,"Nifty 500, Nifty India Digital, Nifty India Railways Psu, Nifty Smallcap 250"
IXIGO.NS,"Nifty India Internet, Nifty Microcap 250"
J&KBANK.NS,"Nifty 500, Nifty Smallcap 250"
JAIBALAJI.NS,Nifty Microcap 250
JAINREC.NS,"Nifty 500, Nifty Smallcap 250"
JAMNAAUTO.NS,Nifty Microcap 250
JAYNECOIND.NS,Nifty Microcap 250
JBCHEPHARM.NS,"Nifty 500, Nifty Pharma, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
JBMA.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty Smallcap 250"
JINDALSAW.NS,"Nifty 500, Nifty Smallcap 250"
JINDALSTEL.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Commodities, Nifty Housing, Nifty India Manufacturing, Nifty Metal, Nifty Next 50"
JIOFIN.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Financial Services, Nifty High Beta 50"
JKCEMENT.NS,"Nifty 500, Nifty Cement, Nifty Housing, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
JKLAKSHMI.NS,"Nifty Cement, Nifty Microcap 250"
JKPAPER.NS,Nifty Microcap 250
JKTYRE.NS,"Nifty 500, Nifty Smallcap 250"
JLHL.NS,Nifty Microcap 250
JMFINANCIL.NS,"Nifty 500, Nifty Smallcap 250"
JPPOWER.NS,"Nifty 500, Nifty Energy, Nifty Smallcap 250"
JSFB.NS,Nifty Microcap 250
JSL.NS,"Nifty 500, Nifty Metal, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
JSLL.NS,Nifty Microcap 250
JSWCEMENT.NS,"Nifty 500, Nifty Cement, Nifty Smallcap 250"
JSWDULUX.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
JSWENERGY.NS,"Nifty 200, Nifty 500, Nifty Commodities, Nifty Energy, Nifty High Beta 50, Nifty Midcap 150"
JSWINFRA.NS,"Nifty 500, Nifty Midcap 150"
JSWSTEEL.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Commodities, Nifty Housing, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Metal"
JUBLFOOD.NS,"Nifty 200, Nifty 500, Nifty Midcap 150, Nifty Non-Cyclical Consumer"
JUBLINGREA.NS,"Nifty 500, Nifty Smallcap 250"
JUBLPHARMA.NS,"Nifty 500, Nifty Smallcap 250"
JUSTDIAL.NS,"Nifty India Internet, Nifty Microcap 250"
JWL.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty Smallcap 250"
JYOTHYLAB.NS,Nifty Microcap 250
JYOTICNC.NS,"Nifty 500, Nifty Smallcap 250"
KAJARIACER.NS,"Nifty 500, Nifty Consumer Durables, Nifty Housing, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
KALYANKJIL.NS,"Nifty 200, Nifty 500, Nifty Consumer Durables, Nifty High Beta 50, Nifty Midcap 150"
KANSAINER.NS,"Nifty Housing, Nifty Microcap 250"
KARURVYSYA.NS,"Nifty 500, Nifty Alpha 50, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
KAYNES.NS,"Nifty 500, Nifty High Beta 50, Nifty India Manufacturing, Nifty Smallcap 250"
KEC.NS,"Nifty 500, Nifty Smallcap 250"
KEI.NS,"Nifty 200, Nifty 500, Nifty Ev & New Age Automotive, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50"
KFINTECH.NS,"Nifty 500, Nifty Capital Markets, Nifty Smallcap 250"
KIMS.NS,"Nifty 500, Nifty Smallcap 250"
KIRLOSBROS.NS,"Nifty Microcap 250, Nifty Smallcap250 Quality 50"
KIRLOSENG.NS,"Nifty 500, Nifty Smallcap 250"
KIRLPNU.NS,Nifty Microcap 250
KITEX.NS,Nifty Microcap 250
KNRCON.NS,Nifty Microcap 250
KOTAKBANK.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Bank, Nifty Financial Services, Nifty Housing, Nifty Low Volatility 50, Nifty Private Bank, Nifty100 Low Volatility 30"
KPIGREEN.NS,Nifty Microcap 250
KPIL.NS,"Nifty 500, Nifty Smallcap 250"
KPITTECH.NS,"Nifty 200, Nifty 500, Nifty Ev & New Age Automotive, Nifty High Beta 50, Nifty India Digital, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty200 Quality 30"
KPRMILL.NS,"Nifty 500, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50"
KRBL.NS,Nifty Microcap 250
KRN.NS,Nifty Microcap 250
KRT.NS,Nifty Reits & Realty
KSB.NS,Nifty Microcap 250
KSCL.NS,Nifty Microcap 250
KTKBANK.NS,Nifty Microcap 250
LALPATHLAB.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
LATENTVIEW.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250"
LAURUSLABS.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Midcap 150, Nifty Pharma"
LEMONTREE.NS,"Nifty 500, Nifty Smallcap 250"
LENSKART.NS,"Nifty 200, Nifty 500, Nifty Midcap 150"
LGEINDIA.NS,"Nifty 200, Nifty 500, Nifty Consumer Durables, Nifty Midcap 150"
LICHSGFIN.NS,"Nifty 200, Nifty 500, Nifty Financial Services, Nifty Housing, Nifty Midcap 150, Nifty200 Value 30"
LICI.NS,"Nifty 500, Nifty Midcap 150"
LINDEINDIA.NS,"Nifty 500, Nifty Chemicals, Nifty India Manufacturing, Nifty Midcap 150"
LLOYDSENGG.NS,Nifty Microcap 250
LLOYDSENT.NS,Nifty Microcap 250
LLOYDSME.NS,"Nifty 500, Nifty Metal, Nifty Midcap 150"
LODHA.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty High Beta 50, Nifty Next 50, Nifty Realty, Nifty Reits & Realty"
LOTUSDEV.NS,Nifty Microcap 250
LT.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Housing, Nifty Infrastructure, Nifty Low Volatility 50, Nifty100 Low Volatility 30"
LTF.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty High Beta 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty200 Momentum 30"
LTFOODS.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
LTM.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty India Digital, Nifty It, Nifty Next 50, Nifty200 Quality 30"
LTTS.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty India Digital, Nifty Midcap 150, Nifty Midcap150 Quality 50"
LUMAXTECH.NS,Nifty Microcap 250
LUPIN.NS,"Nifty 200, Nifty 500, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Pharma"
LXCHEM.NS,Nifty Microcap 250
M&M.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha 50, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Consumption, Nifty India Manufacturing, Nifty Transportation & Logistics"
M&MFIN.NS,"Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
MAHABANK.NS,"Nifty 500, Nifty Dividend Opportunities 50, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Psu Bank"
MAHSCOOTER.NS,Nifty Microcap 250
MAHSEAMLES.NS,Nifty Microcap 250
MANAPPURAM.NS,"Nifty 500, Nifty Alpha 50, Nifty Smallcap 250"
MANKIND.NS,"Nifty 200, Nifty 500, Nifty Healthcare Index, Nifty Midcap 150, Nifty Pharma"
MANORAMA.NS,Nifty Microcap 250
MANYAVAR.NS,Nifty Microcap 250
MAPMYINDIA.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
MARICO.NS,"Nifty 200, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Fmcg, Nifty Low Volatility 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50, Nifty Non-Cyclical Consumer, Nifty200 Quality 30"
MARKSANS.NS,Nifty Microcap 250
MARUTI.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha 50, Nifty Alpha Quality Value Low-Volatility 30, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Consumption, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Transportation & Logistics, Nifty100 Low Volatility 30, Nifty200 Momentum 30"
MASTEK.NS,Nifty Microcap 250
MAXHEALTH.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Healthcare Index, Nifty India Consumption, Nifty Infrastructure"
MAZDOCK.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty High Beta 50, Nifty India Defence, Nifty India Manufacturing, Nifty Next 50, Nifty Transportation & Logistics, Nifty200 Quality 30"
MCX.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Capital Markets, Nifty High Beta 50, Nifty Midcap 150"
MEDANTA.NS,"Nifty 500, Nifty Midcap 150"
MEDPLUS.NS,Nifty Microcap 250
MEESHO.NS,"Nifty 500, Nifty India Digital, Nifty India Internet, Nifty Smallcap 250"
METROPOLIS.NS,"Nifty Microcap 250, Nifty Smallcap250 Quality 50"
MFSL.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Financial Services, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty200 Momentum 30"
MGL.NS,"Nifty 500, Nifty Energy, Nifty Housing, Nifty Oil & Gas, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
MIDHANI.NS,"Nifty India Defence, Nifty Microcap 250"
MINDACORP.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty Smallcap 250"
MINDSPACE.NS,Nifty Reits & Realty
MMTC.NS,"Nifty 500, Nifty Smallcap 250"
MOIL.NS,Nifty Microcap 250
MOTHERSON.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Auto, Nifty Ev & New Age Automotive, Nifty High Beta 50, Nifty India Manufacturing, Nifty Infrastructure, Nifty Next 50, Nifty Transportation & Logistics"
MOTILALOFS.NS,"Nifty 200, Nifty 500, Nifty Capital Markets, Nifty High Beta 50, Nifty India Internet, Nifty Midcap 150, Nifty Midcap150 Quality 50"
MPHASIS.NS,"Nifty 200, Nifty 500, Nifty Dividend Opportunities 50, Nifty India Digital, Nifty It, Nifty Midcap 150, Nifty Midcap150 Quality 50"
MRF.NS,"Nifty 200, Nifty 500, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Transportation & Logistics"
MRPL.NS,"Nifty 500, Nifty India Railways Psu, Nifty Smallcap 250"
MSTCLTD.NS,Nifty Microcap 250
MSUMI.NS,"Nifty 500, Nifty Ev & New Age Automotive, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
MTARTECH.NS,"Nifty India Defence, Nifty Microcap 250"
MUTHOOTFIN.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Financial Services, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50, Nifty Next 50, Nifty200 Momentum 30"
NAM-INDIA.NS,"Nifty 500, Nifty Capital Markets, Nifty Midcap 150, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50"
NATCOPHARM.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
NATIONALUM.NS,"Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Dividend Opportunities 50, Nifty High Beta 50, Nifty Metal, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
NAUKRI.NS,"Nifty 200, Nifty 500, Nifty High Beta 50, Nifty India Consumption, Nifty India Digital, Nifty India Internet, Nifty Midcap 150, Nifty Non-Cyclical Consumer"
NAVA.NS,"Nifty 500, Nifty Energy, Nifty Smallcap 250"
NAVINFLUOR.NS,"Nifty 500, Nifty Alpha 50, Nifty Chemicals, Nifty India Manufacturing, Nifty Smallcap 250"
NAZARA.NS,"Nifty India Internet, Nifty Media, Nifty Microcap 250"
NBCC.NS,"Nifty 500, Nifty Cpse, Nifty High Beta 50, Nifty Smallcap 250"
NCC.NS,"Nifty 500, Nifty Smallcap 250"
NEOGEN.NS,Nifty Microcap 250
NESCO.NS,Nifty Microcap 250
NESTLEIND.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Fmcg, Nifty India Consumption, Nifty Low Volatility 50, Nifty Non-Cyclical Consumer, Nifty100 Low Volatility 30, Nifty200 Quality 30"
NETWEB.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250"
NETWORK18.NS,"Nifty Media, Nifty Microcap 250"
NEULANDLAB.NS,"Nifty 500, Nifty Smallcap 250"
NEWGEN.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250"
NFL.NS,Nifty Microcap 250
NH.NS,"Nifty 500, Nifty Alpha 50, Nifty Smallcap 250"
NHPC.NS,"Nifty 200, Nifty 500, Nifty Commodities, Nifty Cpse, Nifty Dividend Opportunities 50, Nifty Energy, Nifty Midcap 150, Nifty Pse"
NIACL.NS,"Nifty 500, Nifty Midcap 150"
